Edad,Género,Nivel de ingresos mensuales,Frecuencia de consumo de café,Tipo de café preferido,Factor importante al elegir café,Calificación de calidad del café de Colombia,Característica asociada con el café de Colombia,Disposición a pagar más por café de Colombia,Rango de precios dispuesto a pagar,Continuar comprando si el precio aumenta 10%,Probabilidad de cambiar de marca si encuentra una opción más barata,Recuerdo de Marketing,Influencia del Marketing,Canales de Marketing,Percepción de la Calidad del Marketing,Recompra de Calidad,Factores de Calidad,Variación de Calidad,Precio de la Primera Compra,Precio de Recompra,Disposición a Pagar Más en la Recompra,Recomendación Social,Importancia Social,Discusiones Sociales,Influencia Social en la Compra
65 años o más,Masculino,$5000000 COP o más,Raramente,Café con leche,Sabor,5,Aroma fuerte,Sí,$25000 COP o más,Sí,Muy improbable,No,Moderadamente influenciado,Redes sociales,No,Peor,Sabor,Sí,$15000 - $20000 COP,Menos de $10000 COP,No,Sí,Extremadamente importante,Sí,Sí
25-34 años,Femenino,$3000000 - $4000000 COP,Varias veces a la semana,Espresso,Origen (región),4,Alta calidad,Sí,$25000 COP o más,Sí,Muy improbable,No,Extremadamente influenciado,TV,Sí,Mucho peor,Precio,Sí,$10000 - $14000 COP,Menos de $10000 COP,Sí,Sí,Moderadamente importante,No,Sí
45-54 años,Femenino,$5000000 COP o más,Varias veces al mes,Espresso,Precio,4,Alta calidad,Sí,$15000 - $20000 COP,Sí,Muy improbable,No,Nada influenciado,Prensa escrita,Sí,Peor,Precio,No,$10000 - $14000 COP,$15000 - $20000 COP,No,No,Extremadamente importante,Sí,Sí
25-34 años,Masculino,$5000000 COP o más,Varias veces al mes,Café instantáneo,Tipo de grano,3,Alta calidad,Sí,$20000 - $24000 COP,Sí,Muy improbable,No,Moderadamente influenciado,Redes sociales,Sí,Mucho peor,Marca,No,$25000 COP o más,$15000 - $20000 COP,Sí,No,Poco importante,Sí,Sí
55-64 años,Masculino,$5000000 COP o más,Nunca,Café instantáneo,Origen (región),5,Aroma fuerte,Sí,$25000 COP o más,Sí,Muy improbable,No,Muy influenciado,Redes sociales,No,Igual,Marca,Sí,Menos de $10000 COP,$20000 - $24000 COP,Sí,No,Nada importante,Sí,No
35-44 años,Masculino,$3000000 - $4000000 COP,Varias veces a la semana,Café con leche,Precio,4,Producción sostenible,Sí,Menos de $10000 COP,Sí,Muy improbable,No,Nada influenciado,Redes sociales,Sí,Mucho peor,Marca,Sí,$15000 - $20000 COP,$10000 - $14000 COP,Sí,Sí,Moderadamente importante,Sí,No
55-64 años,Masculino,$5000000 COP o más,Varias veces al mes,Café descafeinado,Sabor,5,Producción sostenible,Sí,$15000 - $20000 COP,Sí,Muy improbable,No,Poco influenciado,TV,No,Igual,Sabor,No,$25000 COP o más,$25000 COP o más,Sí,No,Poco importante,Sí,Sí
25-34 años,Femenino,$3000000 - $4000000 COP,Varias veces a la semana,Espresso,Tipo de grano,5,Sabor suave,Sí,$10000 - $14000 COP,Sí,Muy improbable,Sí,Moderadamente influenciado,Redes sociales,Sí,Mucho mejor,Consistencia,Sí,$25000 COP o más,$15000 - $20000 COP,No,No,Extremadamente importante,No,No
25-34 años,Femenino,$1000000 - $2000000 COP,Una vez a la semana,Espresso,Marca,2,Buena relación calidad-precio,No,$25000 COP o más,No,Probable,Sí,Poco influenciado,Prensa escrita,No,Mejor,Precio,No,$10000 - $14000 COP,$20000 - $24000 COP,Sí,No,Extremadamente importante,Sí,No
45-54 años,Femenino,$5000000 COP o más,Nunca,Café filtrado,Origen (región),2,Sabor suave,Sí,$15000 - $20000 COP,Sí,Muy improbable,Sí,Moderadamente influenciado,Redes sociales,Sí,Igual,Marca,No,Menos de $10000 COP,$25000 COP o más,Sí,No,Nada importante,Sí,No
35-44 años,Femenino,$3000000 - $4000000 COP,Una vez a la semana,Café con leche,Tipo de grano,3,Producción sostenible,Sí,$15000 - $20000 COP,Sí,Muy improbable,Sí,Poco influenciado,Prensa escrita,No,Mejor,Marca,No,Menos de $10000 COP,$25000 COP o más,No,Sí,Extremadamente importante,Sí,Sí
65 años o más,Masculino,$5000000 COP o más,Nunca,Café descafeinado,Método de preparación,1,Sabor suave,Sí,$10000 - $14000 COP,Sí,Muy improbable,No,Muy influenciado,TV,No,Mejor,Aroma,Sí,$20000 - $24000 COP,$25000 COP o más,Sí,Sí,Nada importante,Sí,No
35-44 años,Masculino,$3000000 - $4000000 COP,Una vez a la semana,Café descafeinado,Precio,1,Alta calidad,Sí,$10000 - $14000 COP,Sí,Muy improbable,No,Moderadamente influenciado,Prensa escrita,Sí,Mejor,Sabor,Sí,$10000 - $14000 COP,Menos de $10000 COP,No,Sí,Extremadamente importante,Sí,Sí
25-34 años,Femenino,$3000000 - $4000000 COP,Una vez a la semana,Espresso,Origen (región),1,Sabor suave,Sí,$10000 - $14000 COP,Sí,Muy improbable,Sí,Muy influenciado,Redes sociales,Sí,Mucho mejor,Aroma,Sí,$15000 - $20000 COP,$25000 COP o más,No,No,Moderadamente importante,No,Sí
35-44 años,Masculino,$1000000 - $2000000 COP,Una vez a la semana,Café descafeinado,Marca,1,Sabor suave,No,$25000 COP o más,No,Muy probable,No,Extremadamente influenciado,TV,Sí,Mucho peor,Consistencia,No,$25000 COP o más,$20000 - $24000 COP,No,Sí,Moderadamente importante,Sí,Sí
35-44 años,Masculino,$1000000 - $2000000 COP,Una vez a la semana,Café descafeinado,Origen (región),1,Sabor suave,No,Menos de $10000 COP,No,Muy improbable,Sí,Muy influenciado,Prensa escrita,Sí,Mucho mejor,Sabor,Sí,$20000 - $24000 COP,$20000 - $24000 COP,No,No,Extremadamente importante,No,Sí
18-24 años,Femenino,Menos de $1000000 COP,Una vez a la semana,Café descafeinado,Marca,3,Producción sostenible,No,$20000 - $24000 COP,No,Muy improbable,No,Poco influenciado,Prensa escrita,Sí,Igual,Consistencia,No,$10000 - $14000 COP,Menos de $10000 COP,Sí,No,Muy importante,Sí,No
25-34 años,Femenino,$3000000 - $4000000 COP,Varias veces al mes,Café con leche,Tipo de grano,1,Producción sostenible,Sí,$25000 COP o más,Sí,Muy improbable,Sí,Moderadamente influenciado,Redes sociales,Sí,Mucho peor,Precio,No,$10000 - $14000 COP,$10000 - $14000 COP,No,Sí,Poco importante,No,Sí
55-64 años,Masculino,$5000000 COP o más,Raramente,Café instantáneo,Aroma,2,Alta calidad,Sí,$20000 - $24000 COP,Sí,Muy improbable,Sí,Poco influenciado,TV,No,Mucho peor,Consistencia,No,$10000 - $14000 COP,Menos de $10000 COP,Sí,Sí,Muy importante,Sí,Sí
18-24 años,Femenino,Menos de $1000000 COP,Diariamente,Café descafeinado,Método de preparación,1,Alta calidad,No,$20000 - $24000 COP,No,Muy probable,No,Nada influenciado,TV,Sí,Mejor,Consistencia,Sí,$15000 - $20000 COP,$15000 - $20000 COP,Sí,Sí,Moderadamente importante,No,No
18-24 años,Masculino,Menos de $1000000 COP,Una vez a la semana,Café filtrado,Aroma,5,Sabor suave,No,Menos de $10000 COP,Depende del aumento,Probable,No,Extremadamente influenciado,Prensa escrita,Sí,Mucho mejor,Marca,No,$25000 COP o más,$15000 - $20000 COP,Sí,No,Extremadamente importante,No,No
55-64 años,Femenino,$5000000 COP o más,Varias veces al mes,Café instantáneo,Sabor,2,Buena relación calidad-precio,Sí,$25000 COP o más,Sí,Muy improbable,Sí,Poco influenciado,Prensa escrita,No,Peor,Sabor,No,$10000 - $14000 COP,Menos de $10000 COP,Sí,No,Poco importante,Sí,Sí
18-24 años,Masculino,$1000000 - $2000000 COP,Varias veces a la semana,Café filtrado,Tipo de grano,2,Producción sostenible,No,$10000 - $14000 COP,No,Probable,No,Muy influenciado,TV,No,Igual,Sabor,Sí,Menos de $10000 COP,$15000 - $20000 COP,Sí,Sí,Muy importante,No,No
65 años o más,Femenino,$5000000 COP o más,Nunca,Café instantáneo,Tipo de grano,5,Sabor suave,Sí,$25000 COP o más,Sí,Muy improbable,Sí,Poco influenciado,Prensa escrita,No,Mejor,Sabor,Sí,$25000 COP o más,$20000 - $24000 COP,No,Sí,Muy importante,No,Sí
65 años o más,Femenino,$5000000 COP o más,Varias veces al mes,Café descafeinado,Sabor,5,Sabor suave,Sí,$25000 COP o más,Sí,Muy improbable,Sí,Poco influenciado,Redes sociales,Sí,Mucho peor,Sabor,No,$15000 - $20000 COP,$25000 COP o más,No,No,Muy importante,Sí,No
Menos de 18 años,Masculino,$1000000 - $2000000 COP,Una vez a la semana,Café descafeinado,Aroma,1,Sabor suave,No,$25000 COP o más,Depende del aumento,Probable,Sí,Moderadamente influenciado,Prensa escrita,Sí,Mucho mejor,Marca,Sí,Menos de $10000 COP,Menos de $10000 COP,No,Sí,Extremadamente importante,No,No
45-54 años,Masculino,$5000000 COP o más,Nunca,Café con leche,Origen (región),1,Buena relación calidad-precio,Sí,$15000 - $20000 COP,Sí,Muy improbable,No,Muy influenciado,Prensa escrita,No,Mucho peor,Marca,Sí,$20000 - $24000 COP,Menos de $10000 COP,No,Sí,Muy importante,Sí,Sí
35-44 años,Masculino,$1000000 - $2000000 COP,Una vez a la semana,Espresso,Método de preparación,3,Aroma fuerte,No,$20000 - $24000 COP,No,Muy probable,No,Muy influenciado,Redes sociales,Sí,Mucho mejor,Precio,Sí,$10000 - $14000 COP,$15000 - $20000 COP,Sí,No,Nada importante,No,Sí
Menos de 18 años,Masculino,Menos de $1000000 COP,Varias veces a la semana,Café descafeinado,Método de preparación,2,Aroma fuerte,No,$15000 - $20000 COP,No,Improbable,Sí,Poco influenciado,Redes sociales,Sí,Mucho mejor,Precio,No,$20000 - $24000 COP,$20000 - $24000 COP,Sí,No,Muy importante,No,No
65 años o más,Masculino,$5000000 COP o más,Nunca,Café descafeinado,Precio,4,Buena relación calidad-precio,Sí,$25000 COP o más,Sí,Muy improbable,Sí,Muy influenciado,"Internet (banners, sitios web)",Sí,Mucho mejor,Consistencia,Sí,Menos de $10000 COP,$25000 COP o más,Sí,No,Nada importante,No,Sí
35-44 años,Masculino,$1000000 - $2000000 COP,Una vez a la semana,Café filtrado,Precio,3,Buena relación calidad-precio,No,$25000 COP o más,No,Ni probable ni improbable,No,Moderadamente influenciado,"Internet (banners, sitios web)",No,Igual,Marca,Sí,$25000 COP o más,$10000 - $14000 COP,Sí,No,Muy importante,No,Sí
Menos de 18 años,Masculino,Menos de $1000000 COP,Una vez a la semana,Café instantáneo,Origen (región),5,Buena relación calidad-precio,No,$25000 COP o más,No,Muy probable,No,Poco influenciado,"Internet (banners, sitios web)",Sí,Mucho peor,Precio,No,Menos de $10000 COP,$20000 - $24000 COP,No,No,Moderadamente importante,Sí,Sí
65 años o más,Masculino,$5000000 COP o más,Raramente,Café instantáneo,Origen (región),4,Alta calidad,Sí,$10000 - $14000 COP,Sí,Muy improbable,Sí,Muy influenciado,"Internet (banners, sitios web)",Sí,Igual,Marca,No,$10000 - $14000 COP,$20000 - $24000 COP,No,No,Muy importante,No,Sí
Menos de 18 años,Masculino,Menos de $1000000 COP,Varias veces a la semana,Café filtrado,Marca,3,Buena relación calidad-precio,No,$10000 - $14000 COP,Depende del aumento,Probable,Sí,Muy influenciado,TV,No,Mejor,Precio,No,$15000 - $20000 COP,Menos de $10000 COP,No,Sí,Poco importante,No,No
25-34 años,Femenino,$3000000 - $4000000 COP,Una vez a la semana,Café filtrado,Precio,1,Sabor suave,Sí,$25000 COP o más,Sí,Muy improbable,No,Muy influenciado,"Internet (banners, sitios web)",Sí,Peor,Sabor,Sí,$20000 - $24000 COP,$20000 - $24000 COP,No,Sí,Extremadamente importante,Sí,Sí
55-64 años,Femenino,$5000000 COP o más,Varias veces al mes,Espresso,Origen (región),5,Aroma fuerte,Sí,$10000 - $14000 COP,Sí,Muy improbable,Sí,Poco influenciado,"Internet (banners, sitios web)",No,Mejor,Consistencia,No,$10000 - $14000 COP,Menos de $10000 COP,Sí,No,Nada importante,Sí,No
25-34 años,Masculino,$1000000 - $2000000 COP,Una vez a la semana,Café descafeinado,Aroma,5,Producción sostenible,No,$25000 COP o más,No,Probable,No,Poco influenciado,Redes sociales,Sí,Mejor,Precio,No,$25000 COP o más,Menos de $10000 COP,No,No,Muy importante,Sí,No
18-24 años,Masculino,Menos de $1000000 COP,Varias veces a la semana,Café descafeinado,Sabor,1,Producción sostenible,No,$20000 - $24000 COP,No,Ni probable ni improbable,Sí,Extremadamente influenciado,Redes sociales,No,Igual,Marca,Sí,$20000 - $24000 COP,$10000 - $14000 COP,Sí,No,Extremadamente importante,Sí,No
25-34 años,Masculino,$1000000 - $2000000 COP,Varias veces al mes,Café descafeinado,Método de preparación,2,Aroma fuerte,No,$15000 - $20000 COP,No,Muy probable,Sí,Muy influenciado,"Internet (banners, sitios web)",Sí,Mejor,Sabor,No,Menos de $10000 COP,Menos de $10000 COP,No,No,Nada importante,Sí,Sí
55-64 años,Masculino,$5000000 COP o más,Varias veces al mes,Café con leche,Precio,5,Alta calidad,Sí,$25000 COP o más,Sí,Muy improbable,Sí,Muy influenciado,Prensa escrita,No,Mejor,Aroma,Sí,Menos de $10000 COP,Menos de $10000 COP,No,No,Nada importante,No,Sí
55-64 años,Femenino,$5000000 COP o más,Raramente,Café filtrado,Método de preparación,3,Sabor suave,Sí,$25000 COP o más,Sí,Muy improbable,Sí,Nada influenciado,Prensa escrita,No,Mejor,Aroma,No,$20000 - $24000 COP,$10000 - $14000 COP,No,Sí,Nada importante,Sí,Sí
45-54 años,Masculino,$5000000 COP o más,Varias veces al mes,Espresso,Método de preparación,2,Producción sostenible,Sí,Menos de $10000 COP,Sí,Muy improbable,No,Extremadamente influenciado,"Internet (banners, sitios web)",No,Igual,Marca,Sí,$15000 - $20000 COP,$15000 - $20000 COP,No,No,Poco importante,No,Sí
35-44 años,Femenino,$5000000 COP o más,Una vez a la semana,Café descafeinado,Método de preparación,3,Sabor suave,Sí,$20000 - $24000 COP,Sí,Muy improbable,No,Moderadamente influenciado,Redes sociales,No,Igual,Sabor,No,$10000 - $14000 COP,$10000 - $14000 COP,No,No,Extremadamente importante,No,No
45-54 años,Femenino,$5000000 COP o más,Raramente,Café filtrado,Origen (región),2,Alta calidad,Sí,Menos de $10000 COP,Sí,Muy improbable,Sí,Muy influenciado,Redes sociales,No,Mucho peor,Marca,No,$20000 - $24000 COP,$10000 - $14000 COP,Sí,No,Nada importante,Sí,Sí
65 años o más,Femenino,$5000000 COP o más,Varias veces al mes,Café instantáneo,Aroma,5,Buena relación calidad-precio,Sí,Menos de $10000 COP,Sí,Muy improbable,Sí,Extremadamente influenciado,"Internet (banners, sitios web)",Sí,Igual,Aroma,Sí,$10000 - $14000 COP,Menos de $10000 COP,No,Sí,Moderadamente importante,Sí,No
55-64 años,Femenino,$5000000 COP o más,Raramente,Café filtrado,Precio,4,Sabor suave,Sí,$20000 - $24000 COP,Sí,Muy improbable,Sí,Muy influenciado,"Internet (banners, sitios web)",Sí,Mucho mejor,Sabor,Sí,$25000 COP o más,$20000 - $24000 COP,Sí,Sí,Moderadamente importante,Sí,Sí
45-54 años,Masculino,$5000000 COP o más,Raramente,Café con leche,Marca,5,Producción sostenible,Sí,$25000 COP o más,Sí,Muy improbable,Sí,Moderadamente influenciado,TV,Sí,Mucho mejor,Sabor,Sí,$25000 COP o más,Menos de $10000 COP,No,No,Nada importante,Sí,Sí
55-64 años,Masculino,$5000000 COP o más,Nunca,Café filtrado,Tipo de grano,4,Aroma fuerte,Sí,$25000 COP o más,Sí,Muy improbable,No,Poco influenciado,TV,Sí,Peor,Marca,No,$25000 COP o más,$10000 - $14000 COP,No,No,Nada importante,Sí,Sí
35-44 años,Femenino,$3000000 - $4000000 COP,Varias veces a la semana,Café filtrado,Aroma,1,Aroma fuerte,Sí,$20000 - $24000 COP,Sí,Muy improbable,Sí,Extremadamente influenciado,Prensa escrita,No,Peor,Aroma,Sí,$15000 - $20000 COP,$20000 - $24000 COP,Sí,Sí,Poco importante,No,No
55-64 años,Masculino,$5000000 COP o más,Raramente,Café con leche,Precio,5,Sabor suave,Sí,Menos de $10000 COP,Sí,Muy improbable,Sí,Poco influenciado,Redes sociales,No,Mucho mejor,Aroma,Sí,$15000 - $20000 COP,Menos de $10000 COP,Sí,Sí,Muy importante,No,No
Menos de 18 años,Masculino,$1000000 - $2000000 COP,Una vez a la semana,Café filtrado,Marca,2,Buena relación calidad-precio,No,$10000 - $14000 COP,Depende del aumento,Muy probable,Sí,Moderadamente influenciado,TV,No,Mejor,Sabor,Sí,$20000 - $24000 COP,$10000 - $14000 COP,No,No,Poco importante,No,No
35-44 años,Masculino,$5000000 COP o más,Varias veces a la semana,Café descafeinado,Sabor,4,Aroma fuerte,Sí,$10000 - $14000 COP,Sí,Muy improbable,Sí,Nada influenciado,"Internet (banners, sitios web)",No,Mejor,Sabor,No,$10000 - $14000 COP,$10000 - $14000 COP,Sí,No,Nada importante,No,Sí
25-34 años,Masculino,$1000000 - $2000000 COP,Varias veces al mes,Café instantáneo,Método de preparación,2,Sabor suave,No,$10000 - $14000 COP,No,Improbable,Sí,Extremadamente influenciado,"Internet (banners, sitios web)",No,Mucho mejor,Consistencia,Sí,$15000 - $20000 COP,$10000 - $14000 COP,Sí,Sí,Extremadamente importante,Sí,Sí
45-54 años,Femenino,$5000000 COP o más,Raramente,Café instantáneo,Precio,1,Alta calidad,Sí,$20000 - $24000 COP,Sí,Muy improbable,No,Extremadamente influenciado,Prensa escrita,Sí,Mucho peor,Aroma,No,Menos de $10000 COP,Menos de $10000 COP,Sí,Sí,Extremadamente importante,Sí,No
25-34 años,Femenino,$3000000 - $4000000 COP,Varias veces al mes,Café filtrado,Sabor,2,Aroma fuerte,Sí,$25000 COP o más,Sí,Muy improbable,No,Muy influenciado,Redes sociales,Sí,Mejor,Precio,No,$15000 - $20000 COP,Menos de $10000 COP,No,Sí,Muy importante,Sí,No
55-64 años,Masculino,$5000000 COP o más,Raramente,Café instantáneo,Aroma,3,Buena relación calidad-precio,Sí,$20000 - $24000 COP,Sí,Muy improbable,Sí,Muy influenciado,"Internet (banners, sitios web)",No,Mucho peor,Consistencia,Sí,$25000 COP o más,$15000 - $20000 COP,Sí,No,Poco importante,Sí,Sí
25-34 años,Masculino,$1000000 - $2000000 COP,Una vez a la semana,Café descafeinado,Aroma,5,Alta calidad,No,$10000 - $14000 COP,Depende del aumento,Muy probable,No,Muy influenciado,Redes sociales,Sí,Mucho peor,Sabor,Sí,Menos de $10000 COP,$15000 - $20000 COP,No,No,Muy importante,No,No
55-64 años,Femenino,$5000000 COP o más,Raramente,Espresso,Precio,1,Sabor suave,Sí,Menos de $10000 COP,Sí,Muy improbable,No,Moderadamente influenciado,TV,No,Mucho peor,Consistencia,No,Menos de $10000 COP,$10000 - $14000 COP,Sí,No,Nada importante,No,Sí
25-34 años,Femenino,$5000000 COP o más,Varias veces al mes,Café instantáneo,Origen (región),3,Producción sostenible,Sí,Menos de $10000 COP,Sí,Muy improbable,No,Extremadamente influenciado,TV,No,Peor,Aroma,No,Menos de $10000 COP,$25000 COP o más,No,Sí,Nada importante,Sí,Sí
35-44 años,Femenino,$3000000 - $4000000 COP,Una vez a la semana,Café con leche,Aroma,2,Buena relación calidad-precio,Sí,$10000 - $14000 COP,Sí,Muy improbable,No,Muy influenciado,Redes sociales,Sí,Mucho peor,Precio,No,$25000 COP o más,$20000 - $24000 COP,No,Sí,Extremadamente importante,Sí,Sí
45-54 años,Femenino,$5000000 COP o más,Varias veces al mes,Café descafeinado,Método de preparación,3,Producción sostenible,Sí,$10000 - $14000 COP,Sí,Muy improbable,No,Moderadamente influenciado,Redes sociales,No,Peor,Sabor,No,Menos de $10000 COP,$10000 - $14000 COP,No,Sí,Nada importante,Sí,Sí
Menos de 18 años,Femenino,$1000000 - $2000000 COP,Diariamente,Espresso,Método de preparación,4,Alta calidad,No,$10000 - $14000 COP,No,Probable,No,Moderadamente influenciado,Prensa escrita,No,Mucho mejor,Sabor,Sí,Menos de $10000 COP,Menos de $10000 COP,No,Sí,Nada importante,No,No
25-34 años,Masculino,$3000000 - $4000000 COP,Varias veces al mes,Café instantáneo,Precio,5,Sabor suave,Sí,$15000 - $20000 COP,Sí,Muy improbable,No,Muy influenciado,Prensa escrita,No,Mejor,Precio,Sí,$10000 - $14000 COP,$25000 COP o más,Sí,Sí,Nada importante,No,No
Menos de 18 años,Femenino,$1000000 - $2000000 COP,Varias veces a la semana,Café descafeinado,Aroma,2,Aroma fuerte,No,Menos de $10000 COP,No,Probable,No,Extremadamente influenciado,"Internet (banners, sitios web)",Sí,Mucho mejor,Sabor,No,$20000 - $24000 COP,Menos de $10000 COP,No,No,Nada importante,Sí,No
35-44 años,Femenino,$5000000 COP o más,Varias veces a la semana,Café instantáneo,Tipo de grano,4,Producción sostenible,Sí,Menos de $10000 COP,Sí,Muy improbable,No,Nada influenciado,TV,No,Peor,Sabor,No,$25000 COP o más,Menos de $10000 COP,No,No,Poco importante,No,Sí
Menos de 18 años,Femenino,Menos de $1000000 COP,Diariamente,Espresso,Origen (región),1,Buena relación calidad-precio,No,$15000 - $20000 COP,No,Ni probable ni improbable,No,Nada influenciado,Redes sociales,No,Mucho peor,Precio,No,$10000 - $14000 COP,Menos de $10000 COP,No,No,Moderadamente importante,Sí,No
45-54 años,Masculino,$5000000 COP o más,Nunca,Café filtrado,Tipo de grano,3,Alta calidad,Sí,$10000 - $14000 COP,Sí,Muy improbable,No,Muy influenciado,Redes sociales,No,Mucho peor,Aroma,Sí,$15000 - $20000 COP,Menos de $10000 COP,Sí,Sí,Extremadamente importante,No,Sí
55-64 años,Masculino,$5000000 COP o más,Nunca,Café instantáneo,Precio,5,Producción sostenible,Sí,$20000 - $24000 COP,Sí,Muy improbable,Sí,Moderadamente influenciado,TV,No,Igual,Marca,No,Menos de $10000 COP,$25000 COP o más,Sí,No,Extremadamente importante,Sí,No
25-34 años,Masculino,$3000000 - $4000000 COP,Varias veces a la semana,Café con leche,Origen (región),1,Sabor suave,Sí,$15000 - $20000 COP,Sí,Muy improbable,Sí,Moderadamente influenciado,Redes sociales,No,Igual,Marca,Sí,Menos de $10000 COP,$15000 - $20000 COP,Sí,No,Poco importante,No,No
18-24 años,Femenino,$1000000 - $2000000 COP,Una vez a la semana,Espresso,Precio,3,Producción sostenible,No,$25000 COP o más,Depende del aumento,Ni probable ni improbable,Sí,Muy influenciado,Redes sociales,No,Mucho peor,Precio,Sí,$20000 - $24000 COP,$20000 - $24000 COP,No,No,Muy importante,No,Sí
65 años o más,Masculino,$5000000 COP o más,Nunca,Espresso,Tipo de grano,5,Buena relación calidad-precio,Sí,$15000 - $20000 COP,Sí,Muy improbable,Sí,Moderadamente influenciado,"Internet (banners, sitios web)",Sí,Mejor,Sabor,Sí,$25000 COP o más,$15000 - $20000 COP,No,No,Moderadamente importante,Sí,No
45-54 años,Masculino,$5000000 COP o más,Raramente,Café con leche,Precio,3,Alta calidad,Sí,Menos de $10000 COP,Sí,Muy improbable,No,Nada influenciado,Redes sociales,Sí,Mejor,Marca,Sí,$10000 - $14000 COP,Menos de $10000 COP,No,Sí,Moderadamente importante,Sí,No
Menos de 18 años,Femenino,Menos de $1000000 COP,Varias veces a la semana,Café instantáneo,Marca,4,Sabor suave,No,$15000 - $20000 COP,Depende del aumento,Muy improbable,No,Poco influenciado,Prensa escrita,Sí,Igual,Sabor,No,$15000 - $20000 COP,Menos de $10000 COP,No,Sí,Extremadamente importante,No,No
35-44 años,Femenino,$5000000 COP o más,Varias veces a la semana,Café filtrado,Método de preparación,3,Sabor suave,Sí,$10000 - $14000 COP,Sí,Muy improbable,Sí,Extremadamente influenciado,"Internet (banners, sitios web)",Sí,Mucho peor,Precio,No,$25000 COP o más,$15000 - $20000 COP,No,Sí,Nada importante,No,No
25-34 años,Femenino,$5000000 COP o más,Varias veces a la semana,Café descafeinado,Tipo de grano,1,Sabor suave,Sí,$20000 - $24000 COP,Sí,Muy improbable,Sí,Moderadamente influenciado,Prensa escrita,No,Mucho mejor,Consistencia,No,$20000 - $24000 COP,$20000 - $24000 COP,No,No,Moderadamente importante,No,Sí
65 años o más,Femenino,$5000000 COP o más,Raramente,Café instantáneo,Aroma,3,Alta calidad,Sí,$15000 - $20000 COP,Sí,Muy improbable,Sí,Nada influenciado,Prensa escrita,Sí,Peor,Aroma,Sí,$25000 COP o más,$15000 - $20000 COP,No,Sí,Moderadamente importante,No,No
65 años o más,Masculino,$5000000 COP o más,Nunca,Café filtrado,Origen (región),5,Buena relación calidad-precio,Sí,$20000 - $24000 COP,Sí,Muy improbable,No,Extremadamente influenciado,"Internet (banners, sitios web)",Sí,Peor,Consistencia,No,Menos de $10000 COP,$25000 COP o más,No,No,Nada importante,Sí,No
65 años o más,Masculino,$5000000 COP o más,Raramente,Café filtrado,Tipo de grano,4,Sabor suave,Sí,$10000 - $14000 COP,Sí,Muy improbable,No,Extremadamente influenciado,Redes sociales,No,Peor,Marca,Sí,$10000 - $14000 COP,$20000 - $24000 COP,Sí,Sí,Poco importante,No,Sí
18-24 años,Femenino,$1000000 - $2000000 COP,Una vez a la semana,Café filtrado,Método de preparación,2,Buena relación calidad-precio,No,$25000 COP o más,No,Improbable,Sí,Muy influenciado,TV,Sí,Igual,Consistencia,Sí,$20000 - $24000 COP,$25000 COP o más,Sí,Sí,Nada importante,No,No
55-64 años,Femenino,$5000000 COP o más,Raramente,Café filtrado,Sabor,1,Aroma fuerte,Sí,$10000 - $14000 COP,Sí,Muy improbable,No,Poco influenciado,Prensa escrita,Sí,Mucho peor,Marca,Sí,$25000 COP o más,$20000 - $24000 COP,No,No,Extremadamente importante,Sí,Sí
Menos de 18 años,Masculino,$1000000 - $2000000 COP,Varias veces a la semana,Espresso,Tipo de grano,3,Sabor suave,No,Menos de $10000 COP,No,Ni probable ni improbable,No,Extremadamente influenciado,Redes sociales,Sí,Mucho mejor,Sabor,No,$20000 - $24000 COP,Menos de $10000 COP,Sí,Sí,Moderadamente importante,No,Sí
25-34 años,Masculino,$1000000 - $2000000 COP,Varias veces al mes,Café descafeinado,Origen (región),3,Alta calidad,No,Menos de $10000 COP,Depende del aumento,Probable,Sí,Extremadamente influenciado,Prensa escrita,Sí,Peor,Marca,No,$20000 - $24000 COP,$10000 - $14000 COP,Sí,No,Muy importante,Sí,Sí
25-34 años,Masculino,$1000000 - $2000000 COP,Una vez a la semana,Café filtrado,Origen (región),5,Alta calidad,No,$10000 - $14000 COP,Depende del aumento,Muy improbable,Sí,Moderadamente influenciado,Redes sociales,No,Igual,Marca,Sí,$10000 - $14000 COP,Menos de $10000 COP,No,Sí,Extremadamente importante,No,Sí
35-44 años,Masculino,$3000000 - $4000000 COP,Una vez a la semana,Café con leche,Aroma,2,Aroma fuerte,Sí,$20000 - $24000 COP,Sí,Muy improbable,Sí,Nada influenciado,"Internet (banners, sitios web)",Sí,Igual,Precio,Sí,Menos de $10000 COP,$10000 - $14000 COP,No,Sí,Poco importante,No,Sí
45-54 años,Femenino,$5000000 COP o más,Nunca,Espresso,Origen (región),1,Alta calidad,Sí,$25000 COP o más,Sí,Muy improbable,No,Extremadamente influenciado,Redes sociales,Sí,Mucho mejor,Marca,No,Menos de $10000 COP,$15000 - $20000 COP,No,No,Poco importante,Sí,Sí
45-54 años,Femenino,$5000000 COP o más,Varias veces al mes,Espresso,Tipo de grano,2,Producción sostenible,Sí,$10000 - $14000 COP,Sí,Muy improbable,Sí,Nada influenciado,Prensa escrita,No,Mejor,Sabor,No,$25000 COP o más,$10000 - $14000 COP,No,No,Moderadamente importante,No,No
